X,Y,osm_id,landuse,natural
-8.71324282410109,41.2832785103563,434925526,forest,
-8.71763231791945,41.2855675789272,350968870,forest,
-8.7133357136302,41.2850646562494,434925525,forest,
-8.7154407989381,41.2895535230003,350968910,forest,
-8.70796296986805,41.2866880083979,410642763,forest,
-8.70900839918628,41.2934470844297,428981047,forest,
-8.70398789313974,41.2946629078726,350968876,forest,
-8.71747818404003,41.3000296379552,350968841,forest,
-8.7200412512146,41.3053980110956,350968916,forest,
-8.7146524685633,41.3074054230324,428981048,forest,
-8.71115912812579,41.2981235725483,434926476,forest,
-8.7032778942917,41.3016964051606,350968855,forest,
-8.71196128118419,41.303697490595,350968914,forest,
-8.7066676898207,41.3049597774497,386578565,forest,
-8.70415827700156,41.3058024604975,350968864,forest,
-8.69822911070984,41.2806205333448,350968940,forest,
-8.68992471579981,41.2783089293911,350968919,forest,
-8.69839666435658,41.285784419308,350968872,forest,
-8.69693747482816,41.2838872558262,434925524,forest,
-8.69573938562728,41.2845557202032,434925523,forest,
-8.69430885935965,41.2832220238437,434925522,forest,
-8.68398587677373,41.2773640392221,350968907,forest,
-8.68619375130137,41.283398309843,435841776,forest,
-8.68938369385927,41.2842181809348,428981044,forest,
-8.68147994789464,41.281686299567,428981043,forest,
-8.68149984242779,41.284011860993,435841775,forest,
-8.67932362743953,41.2847728288673,350968854,forest,
-8.67052986115239,41.2793026689023,333029945,,wood
-8.67641529592439,41.2820056700863,428981042,forest,
-8.67446591868214,41.2823137498043,404220037,forest,
-8.67615801856548,41.2830893617142,428981041,forest,
-8.67611348080231,41.2858024947714,428981040,forest,
-8.67198232395079,41.2841740559398,407534114,forest,
-8.66482053287176,41.281059094355,405897681,forest,
-8.66236638785722,41.2758574814073,330924565,,wood
-8.66256336306074,41.2775237835994,407209993,forest,
-8.66583101235298,41.2821908017122,405897677,forest,
-8.66765081000437,41.2834390389906,405897674,forest,
-8.66456864477268,41.281806799916,405897679,forest,
-8.66015575291387,41.2847819066943,331967372,,wood
-8.66172728514066,41.2867472323801,428981038,forest,
-8.69990202467319,41.2899143526205,350968849,forest,
-8.69909998595435,41.2907896792589,350968899,forest,
-8.69933849813518,41.2916962875533,428981046,forest,
-8.70107077807322,41.2933407856766,428981045,forest,
-8.69999857577043,41.2952539875753,434925516,forest,
-8.68730489228941,41.2869416658045,435841777,forest,
-8.68638145491235,41.2896185518156,434925511,forest,
-8.68415653021319,41.2905668276641,434925510,forest,
-8.68108485262709,41.2898610353666,434925509,forest,
-8.68283101936655,41.2925785715409,350968908,forest,
-8.68175255933207,41.2947424071898,434925517,forest,
-8.69953467598479,41.2988548701459,350968851,forest,
-8.69316786292477,41.3036285418943,350968909,forest,
-8.68443533619605,41.2987600642473,434920222,forest,
-8.68249711359285,41.2979946631977,434920223,forest,
-8.68083119002998,41.298937697822,434920224,forest,
-8.6833322512136,41.3006744319413,434925519,forest,
-8.68254659821684,41.3016267879201,350968928,forest,
-8.68820561794733,41.3077313900768,350968921,forest,
-8.68404908623602,41.3067694395868,350968926,forest,
-8.67805826310637,41.2954155599462,434925518,forest,
-8.67149743344067,41.293965780779,350968913,forest,
-8.66429626250998,41.2911657005239,409043263,forest,
-8.66090699804554,41.2884826242424,428981036,forest,
-8.65953044127978,41.2872337138115,428981039,forest,
-8.66192436550322,41.2913398372587,409043265,forest,
-8.65720777324389,41.2896814082814,428981037,forest,
-8.66479372616855,41.29306518791,409043261,forest,
-8.66576916058298,41.2962572496266,435841781,forest,
-8.66029786686504,41.2947130419535,435841780,forest,
-8.65641003398368,41.2947187172036,428981035,forest,
-8.66043516969778,41.2952776587409,435841779,forest,
-8.66243123846826,41.296188495757,435841778,forest,
-8.67655227860744,41.2987068911654,434920221,forest,
-8.6691233309774,41.3011059418928,434920220,forest,
-8.66958422538436,41.3063445996409,456653724,forest,
-8.66049820511777,41.2978980475488,435842885,forest,
-8.6586655595562,41.2985946747534,435842884,forest,
-8.66252564484074,41.3031005436681,435842886,forest,
-8.66074011031532,41.3076901632629,435842887,forest,
-8.65229775689648,41.2791672210568,407075366,forest,
-8.65138971734584,41.2778774702845,404223413,forest,
-8.64926924375021,41.277813893791,404223414,forest,
-8.64714737646374,41.2761245115026,407537278,forest,
-8.6481425223848,41.2801978420615,404223412,forest,
-8.65219067065996,41.2858485363056,407317660,forest,
-8.65041626469713,41.2843449741086,407075367,forest,
-8.65071155006003,41.2856958253284,407317659,forest,
-8.64693072266997,41.2818429968701,407317661,forest,
-8.6515647901666,41.288500500799,428981034,forest,
-8.65328288739165,41.2960073723997,435841782,forest,
-8.6496908866147,41.3005507115882,428981027,forest,
-8.65301987454217,41.3056151845547,435842888,forest,
-8.71229965574778,41.3191879953381,435825823,forest,
-8.70229857216851,41.3185358767568,350968937,forest,
-8.71142563427567,41.3197644337805,435825824,forest,
-8.70548333140911,41.3236014815297,350968830,forest,
-8.69709832931783,41.309143900093,350968920,forest,
-8.69355974783631,41.3114807093789,350968939,forest,
-8.69929192049769,41.31652205,350968911,forest,
-8.69931148288754,41.3192629023415,350968856,forest,
-8.69387671357743,41.314606143748,350968942,forest,
-8.68349825990583,41.3123810011291,350968842,forest,
-8.68236178357551,41.3141656592169,350968861,forest,
-8.68985107374993,41.3145617973593,350968843,forest,
-8.68598323190762,41.3152655747848,350968862,forest,
-8.68346521527335,41.3164228502598,350968850,forest,
-8.69325822910345,41.3249664555413,350968935,forest,
-8.68353673668469,41.3197297118242,350968915,forest,
-8.67759349565902,41.3099615762189,350968922,forest,
-8.67745662139905,41.3144421373072,350968885,forest,
-8.67839252523118,41.3177446423714,350968853,forest,
-8.67438965883154,41.3218757869921,642687391,forest,
-8.65750213888171,41.3223790911448,436115492,forest,
-8.66090900478727,41.3232809857518,436115487,forest,
-8.66012672770275,41.3236468866439,436115489,forest,
-8.65831247369849,41.3245853713334,436115491,forest,
-8.65529944519228,41.3151938642258,-10245683,forest,
-8.646112762276,41.317396787273,435842891,forest,
